# NEAD 1.0 UTF-8
# [METADATA]
# station_id       = AWS14
# latitude         = -67.0133
# longitude        = -61.48
# altitude         = 47
# nodata           = 
# field_delimiter  = ,
# tz               = 0
# doi              = 
# [FIELDS]
# fields           = 
time,t,t2m,q,q2m,rh,rh2m,ff,ff10m,ffmax,ffdir,p,SWd,SWu,LWd,LWu,Tsub1a,Tsub2a,Tsub3a,Tsub4a,Tsub5a,Tsub1b,Tsub2b,Tsub3b,Tsub4b,Tsub5b,z_surf,z_surf_filtered,cum_surface_height_zboom,z_u,Vbat,TCNR,Tlogger,LAT,LON,alb,Ts_obs,SHFdown,LHFdown,GHFup,cloud_cover,LWu_mod,SHFdown_mod,LHFdown_mod,GHFup_mod,Ts_mod,meltE,melt,cumulative_melt,sublimation,accumulation,LWC,LWC_10cm,Tsmax,Tmax,pnan_SEB,pnan_AWS
# units            = -,DegreeC,DegreeC,g/kg,g/kg,%,%,m/s,m/s,m/s,deg,hPa,W/m^2,W/m^2,W/m^2,W/m^2,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,m,m,m,m,V,DegreeC,DegreeC,deg,deg,-,DegreeC,W/m^2,W/m^2,W/m^2,-,W/m^2,W/m^2,W/m^2,W/m^2,DegreeC,W/m^2,kg/m^2/dt,kg/m^2,kg/m^2/dt,kg/m^2/dt,kg/m^2,kg/m^2,degreeC,degreeC,-,-
# [DATA]
2009-01-21,-4.029,-4.332, 2.415, 2.473,87.325,87.957, 1.076, 1.371, 1.399,45.500,982.950,247.248,198.791,212.694,294.956, 0.748,,-5.026,-7.885,-7.720, 0.485,-0.738,-7.050,,,,, 0.000, 4.000,14.090,-0.096, 1.612,,,,-4.685, 0.675,-1.575,19.730, 0.040,288.033, 3.749, 0.377,34.520,-6.185, 0.000, 0.000, 0.000,-0.002, 0.000, 0.000, 0.000,-4.670,-4.029,2,2
2009-01-22,-2.824,-2.748, 2.591, 2.646,84.686,83.346, 2.571, 2.891, 3.342,82.033,981.467,247.067,200.770,270.083,300.253, 1.108,,-7.552,-9.470,-9.116, 0.706,-2.709,-9.162,,,,, 0.000, 4.000,13.994,-1.473,-1.069,,, 0.813,-3.298, 2.372,-5.810, 2.794, 0.667,302.490,-0.851,-9.495, 4.076,-2.958,10.767, 0.119, 0.999,-0.012, 0.000, 0.710, 0.710,-1.580,-2.824,24,24
2009-01-23,-2.031,-2.041, 2.765, 2.786,84.508,83.457, 2.767, 2.857, 3.597,103.546,979.817,256.657,208.730,287.554,304.027, 1.667,,-6.634,-9.535,-9.543, 1.021,-2.156,-8.878,,,,, 0.000, 4.000,13.990,-0.254, 0.101,,, 0.815,-2.544, 1.681,-5.643, 1.573, 0.788,310.179,-4.090,-11.622, 9.218,-1.198,18.332, 0.195, 4.388,-0.015, 0.000, 1.527, 1.503,-1.830,-2.031,24,24
2009-01-24,-2.753,-2.775, 2.856, 2.878,92.610,90.884, 2.986, 3.471, 3.881,93.417,981.629,251.724,211.782,279.467,299.503, 1.449,,-7.442,-9.774,-9.515, 0.780,-3.158,-9.371,,,,, 0.000, 4.000,13.987,-1.542,-2.046,,, 0.843,-3.574, 4.185,-3.021, 2.645, 0.739,307.660,-7.582,-11.976,13.808,-1.758, 6.481, 0.070, 8.096,-0.015, 0.000, 1.692, 1.657,-1.980,-2.753,24,24
2009-01-25,-2.049,-2.073, 3.140, 3.146,95.684,94.128, 2.930, 2.988, 3.809,130.567,978.733,246.824,213.990,295.100,304.836, 0.572,,-7.230,-9.752,-9.546, 0.287,-3.240,-9.278,,,,, 0.000, 4.000,14.006, 1.037, 2.285,,, 0.867,-2.386, 0.747,-2.112, 0.848, 0.873,311.869,-6.225,-7.828, 7.383,-0.822, 8.891, 0.096,10.022,-0.010, 0.000, 1.133, 1.133,-1.950,-2.049,24,24
2009-01-26,-2.210,-2.235, 3.081, 3.084,95.124,93.357, 2.610, 2.817, 3.393,222.492,978.108,273.179,231.951,289.340,304.394, 0.703,,-7.074,-9.743,-9.559, 0.292,-3.173,-9.210,,,,, 0.000, 4.000,14.020, 0.120,-0.324,,, 0.848,-2.525, 1.406,-2.261, 1.686, 0.803,311.406,-7.581,-9.393,10.372,-0.924,11.180, 0.118,12.427,-0.012, 0.000, 1.233, 1.233,-1.730,-2.210,24,24
2009-01-27,-4.085,-4.043, 2.683, 2.703,96.930,93.465, 2.434, 2.652, 3.165,235.442,978.829,281.498,235.712,271.727,297.930, 0.781,,-6.770,-9.612,-9.605, 0.167,-3.082,-8.945,,,,, 0.000, 4.000,14.007,-0.823,-1.368,,, 0.838,-3.861,-0.989,-3.470, 2.078, 0.711,304.582,-9.027,-9.185,13.393,-2.458, 9.803, 0.104,15.173,-0.011, 0.000, 0.786, 0.786,-1.820,-4.085,24,24
2009-01-28,-1.617,-1.542, 3.247, 3.275,95.363,93.936, 2.118, 2.279, 2.753,104.350,977.279,217.082,185.282,300.271,307.666, 0.667,,-7.279,-9.754,-9.554, 0.165,-3.423,-9.273,,,,, 0.000, 4.000,14.037, 2.048, 2.642,,, 0.855,-1.701,-0.301,-2.639,-1.753, 0.918,312.305,-4.042,-5.524, 6.215,-0.727,16.461, 0.177,18.294,-0.007, 0.000, 1.490, 1.488,-1.130,-1.617,24,24
2009-01-29,-2.180,-2.189, 2.983, 3.007,91.927,90.734, 1.422, 1.601, 1.849,176.933,978.646,209.832,183.257,294.549,306.047, 0.776,,-6.009,-9.315,-9.680, 0.103,-2.393,-8.359,,,,, 0.000, 4.000,14.039, 1.226, 1.755,,, 0.874,-2.141,-0.438,-2.879, 1.100, 0.874,311.935,-6.007,-7.611,10.150,-0.807, 5.417, 0.058,21.567,-0.010, 0.000, 2.625, 2.625,-1.420,-2.180,24,24
2009-01-30,-2.415,-2.435, 3.091, 3.093,96.909,94.848, 4.002, 4.511, 5.203,118.888,976.929,233.163,205.435,295.080,303.282, 0.356,,-7.476,-9.736,-9.555,-0.047,-3.742,-9.299,,,,, 0.000, 4.000,13.998,-1.187,-0.741,,, 0.881,-2.736, 2.790,-2.135, 1.465, 0.894,309.809,-10.022,-11.490, 9.216,-1.275, 0.827, 0.007,22.597,-0.015, 0.000, 1.018, 1.018,-2.260,-2.415,24,24
2009-01-31,-2.396,-2.385, 2.998, 3.011,94.093,92.271, 6.492, 6.948, 8.440,180.342,979.042,255.096,223.622,289.172,303.854, 0.154,,-5.576,-9.078,-9.734,-0.074,-2.392,-7.973,,,,, 0.000, 4.000,13.987,-0.558,-0.930,,, 0.876,-2.584, 2.633,-7.051, 0.229, 0.821,306.819,-4.690,-12.486, 4.337,-1.935, 0.789, 0.008,22.773,-0.016, 0.000, 0.033, 0.033,-1.700,-2.396,24,24
2009-02-01,-2.039,-2.054, 3.055, 3.063,93.799,92.094, 3.375, 3.704, 4.388,158.421,986.562,239.001,210.332,294.983,302.704, 0.223,,-5.754,-9.069,-9.723,-0.064,-2.561,-8.088,,,,, 0.000, 4.000,14.001,-0.915,-0.567,,, 0.881,-2.833, 5.212,-1.660, 0.453, 0.873,306.867,-0.703,-6.308, 5.688,-1.936,15.343, 0.160,24.233,-0.008, 0.000, 1.000, 1.000,-1.410,-2.039,24,24
2009-02-02,-2.987,-3.091, 2.659, 2.664,89.485,87.498, 2.102, 2.074, 2.733,141.596,995.067,237.618,212.106,278.079,297.399, 0.173,,-5.928,-9.178,-9.697,-0.070,-2.787,-8.242,,,,, 0.000, 4.000,14.011,-0.692, 0.490,,, 0.894,-4.107, 3.128,-1.433, 3.297, 0.721,304.705,-2.346,-6.410,13.851,-2.426, 3.668, 0.037,26.999,-0.008, 0.000, 0.380, 0.380,-2.380,-2.987,24,24
2009-02-03,-6.466,-6.684, 2.199, 2.164,98.442,92.526, 2.364, 2.713, 3.073,179.142,993.358,213.655,193.397,278.999,285.031, 0.141,,-6.939,-9.601,-9.590,-0.079,-3.608,-8.943,,,,, 0.000, 4.000,13.988,-4.248,-4.579,,, 0.906,-7.096, 1.654,-1.698, 9.938, 0.868,291.861,-8.493,-7.792, 9.460,-5.300, 0.000, 0.000,27.640,-0.010, 0.000, 0.000, 0.000,-3.310,-6.466,24,24
2009-02-04,-7.599,-7.728, 1.973, 1.967,97.674,91.057, 2.927, 3.088, 3.805,163.850,991.671,263.336,229.244,257.955,279.812, 0.094,,-6.637,-9.380,-9.625,-0.093,-3.460,-8.647,,,,, 0.000, 4.000,13.958,-5.145,-5.346,,, 0.867,-8.404, 3.566,-1.612, 8.166, 0.641,285.218,-5.236,-6.499, 7.535,-6.855, 0.000, 0.000,27.640,-0.009, 0.000, 0.000, 0.000,-5.740,-7.599,24,24
2009-02-05,-11.711,-11.558, 1.412, 1.450,96.091,86.284, 1.772, 1.925, 2.304,181.039,990.954,300.731,253.795,222.141,259.234, 0.122,,-6.260,-9.251,-9.649,-0.083,-3.194,-8.408,,,,, 0.000, 4.000,13.935,-7.846,-9.391,,, 0.841,-12.922, 3.920,-0.999, 5.775, 0.403,269.498,-3.571,-4.496, 6.213,-10.676, 0.000, 0.000,27.640,-0.006, 0.000, 0.000, 0.000,-6.100,-11.711,24,24
2009-02-06,-2.962,-3.084, 2.649, 2.703,88.126,86.499, 1.873, 1.997, 2.435,143.304,989.058,254.805,207.807,264.348,296.081, 0.175,,-6.437,-9.273,-9.626,-0.070,-3.350,-8.496,,, 3.972, 3.962,-0.009, 4.009,14.019, 0.734, 1.575,,, 0.815,-4.225, 2.853,-1.546,-8.199, 0.605,299.928, 1.604,-2.886,-0.241,-3.531, 8.054, 0.090,28.250,-0.004, 0.000, 0.319, 0.319,-0.760,-2.962,23,24
2009-02-07,-1.560,-1.654, 2.951, 2.948,86.954,85.880, 1.297, 1.469, 1.686,205.673,993.283,273.940,218.741,252.680,296.265, 0.258,,-5.636,-8.883,-9.690,-0.039,-2.773,-7.905,,, 3.994, 3.988,-0.031, 4.031,14.068, 2.299, 1.331,,, 0.798,-4.331, 5.055, 0.196,-2.210, 0.393,299.924, 3.319,-1.314, 6.277,-3.530,15.696, 0.165,30.823,-0.002, 0.000, 0.693, 0.693,-0.660,-1.560,24,24
