# NEAD 1.0 UTF-8
# [METADATA]
# station_id       = AWS15
# latitude         = -67.5717
# longitude        = -62.125
# altitude         = 49
# nodata           = 
# field_delimiter  = ,
# tz               = 0
# doi              = 
# [FIELDS]
# fields           = 
time,t,t2m,q,q2m,rh,rh2m,ff,ff10m,ffmax,ffdir,p,SWd,SWu,LWd,LWu,Tsub1a,Tsub2a,Tsub3a,Tsub4a,Tsub5a,Tsub1b,Tsub2b,Tsub3b,Tsub4b,Tsub5b,z_surf,z_surf_filtered,cum_surface_height_zboom,z_u,Vbat,TCNR,Tlogger,LAT,LON,alb,Ts_obs,SHFdown,LHFdown,GHFup,cloud_cover,LWu_mod,SHFdown_mod,LHFdown_mod,GHFup_mod,Ts_mod,meltE,melt,cumulative_melt,sublimation,accumulation,LWC,LWC_10cm,Tsmax,Tmax,pnan_SEB,pnan_AWS
# units            = -,DegreeC,DegreeC,g/kg,g/kg,%,%,m/s,m/s,m/s,deg,hPa,W/m^2,W/m^2,W/m^2,W/m^2,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,m,m,m,m,V,DegreeC,DegreeC,deg,deg,-,DegreeC,W/m^2,W/m^2,W/m^2,-,W/m^2,W/m^2,W/m^2,W/m^2,DegreeC,W/m^2,kg/m^2/dt,kg/m^2,kg/m^2/dt,kg/m^2/dt,kg/m^2,kg/m^2,degreeC,degreeC,-,-
# [DATA]
2009-01-21,-2.791,-2.669, 2.730, 2.717,88.850,85.254, 2.503, 3.096, 3.254,93.025,982.300,444.445,363.616,240.912,302.749, 1.101,-0.959,-7.622,-9.662,-9.425, 0.738,-4.038,-9.565,,, 4.129, 4.101, 0.000, 4.100,14.105, 2.026, 3.915,,, 0.820,-2.855, 0.842,-7.195,-9.418, 0.535,301.442, 2.366,-5.695,-7.011,-3.123, 0.000, 0.000, 0.000,-0.007, 0.000, 0.000, 0.000,-2.410,-2.791,4,4
2009-01-22,-3.518,-3.551, 2.421, 2.459,84.173,82.521, 2.407, 2.571, 3.129,97.225,981.542,298.471,247.398,256.334,295.166, 1.448,-0.560,-8.675,-10.457,-10.180, 1.301,-5.640,-10.277,,, 4.092, 4.098, 0.001, 4.099,14.055,-1.435,-0.141,,, 0.830,-4.566, 4.059,-3.695,-1.499, 0.525,296.741, 1.162,-7.781, 1.433,-4.253, 5.011, 0.055, 0.426,-0.010, 0.000, 0.072, 0.072,-2.470,-3.518,24,24
2009-01-23,-3.085,-3.128, 2.578, 2.601,85.718,84.168, 3.078, 3.284, 4.001,104.275,980.067,260.583,223.311,274.932,298.352, 0.872,-0.497,-8.797,-10.649,-10.377, 0.944,-5.386,-10.393,,, 4.105, 4.098,-0.008, 4.108,14.060,-1.169, 0.062,,, 0.859,-3.829, 3.743,-4.938,-2.411, 0.715,301.331, 0.413,-8.446,-1.267,-3.175, 1.928, 0.020, 1.442,-0.011, 0.000, 0.003, 0.003,-2.340,-3.085,24,24
2009-01-24,-3.671,-3.707, 2.685, 2.696,93.475,90.670, 2.447, 2.790, 3.181,105.709,981.717,246.698,219.335,280.970,294.761, 1.149,-1.487,-8.897,-10.685,-10.428, 0.958,-6.098,-10.425,,, 4.116, 4.109,-0.014, 4.114,14.057,-1.913,-1.280,,, 0.892,-4.664, 4.353,-1.666,-1.296, 0.797,299.105,-1.104,-6.299,-1.818,-3.684, 0.000, 0.000, 1.810,-0.008, 0.000, 0.000, 0.000,-2.490,-3.671,24,24
2009-01-25,-2.712,-2.714, 3.001, 3.012,96.642,94.497, 2.850, 2.908, 3.705,113.775,978.942,228.314,207.937,291.910,301.140, 0.717,-1.726,-8.860,-10.685,-10.455, 0.643,-6.089,-10.396,,, 4.112, 4.115,-0.020, 4.120,14.075, 0.211, 2.017,,, 0.911,-3.174, 1.772,-1.433,-3.585, 0.877,304.678,-0.355,-3.463,-3.829,-2.410, 0.000, 0.000, 1.810,-0.004, 0.000, 0.000, 0.000,-2.370,-2.712,24,24
2009-01-26,-2.102,-2.085, 3.133, 3.147,95.682,94.047, 2.304, 2.493, 2.995,196.683,977.792,258.613,232.134,290.933,303.571, 0.738,-2.246,-8.816,-10.665,-10.473, 0.335,-6.186,-10.357,,, 4.122, 4.117,-0.022, 4.122,14.098, 0.724, 1.004,,, 0.897,-2.614, 1.992,-0.972,-4.247, 0.842,307.381,-1.231,-3.813,-1.335,-1.815, 3.675, 0.039, 2.055,-0.005, 0.000, 0.056, 0.056,-1.530,-2.102,24,24
2009-01-27,-2.522,-2.560, 3.064, 3.057,97.044,94.736, 1.370, 1.505, 1.781,231.408,978.225,238.824,211.298,294.416,304.689, 1.022,-1.915,-8.734,-10.637,-10.490, 0.758,-6.078,-10.298,,, 4.119, 4.119,-0.019, 4.119,14.115, 1.024, 1.255,,, 0.885,-2.435,-0.612,-1.896,-3.250, 0.897,307.466,-3.899,-4.489, 1.619,-1.800, 7.481, 0.077, 3.281,-0.005, 0.000, 0.257, 0.257,-1.470,-2.522,24,24
2009-01-28,-2.483,-2.450, 3.011, 3.019,94.716,92.442, 2.178, 2.380, 2.831,80.578,977.296,243.694,215.249,294.247,303.838, 0.929,-1.939,-8.725,-10.622,-10.494, 0.579,-6.127,-10.276,,, 4.115, 4.115,-0.017, 4.117,14.107, 0.539, 2.475,,, 0.883,-2.570, 0.395,-3.039,-2.973, 0.892,307.471,-2.876,-5.834, 3.357,-1.799, 8.611, 0.088, 5.224,-0.008, 0.000, 0.420, 0.420,-1.200,-2.483,23,24
2009-01-29,-2.273,-2.265, 2.722, 2.755,84.410,83.544, 1.315, 1.430, 1.707,192.738,978.371,219.792,194.789,290.486,304.949, 0.886,-1.731,-8.636,-10.586,-10.511, 0.712,-6.058,-10.202,,, 4.108, 4.115,-0.018, 4.118,14.120, 1.422, 1.817,,, 0.887,-2.360,-0.024,-4.079,-2.795, 0.845,308.058,-2.668,-6.583, 2.956,-1.663, 0.930, 0.010, 6.693,-0.009, 0.000, 0.068, 0.068,-1.430,-2.273,24,24
2009-01-30,-2.460,-2.502, 2.993, 3.015,94.302,93.017, 3.585, 4.025, 4.660,104.692,977.712,238.948,214.323,292.409,302.190, 0.513,-1.241,-8.610,-10.572,-10.504, 0.536,-5.799,-10.184,,, 4.129, 4.127,-0.033, 4.133,14.077,-1.067, 0.281,,, 0.897,-3.004, 4.129,-1.790,-1.617, 0.868,305.128,-2.911,-7.018,-1.677,-2.309, 0.000, 0.000, 6.860,-0.009, 0.000, 0.000, 0.000,-1.950,-2.460,24,24
2009-01-31,-2.474,-2.517, 2.939, 2.945,92.935,91.225, 5.438, 5.833, 7.070,170.950,980.204,261.038,233.876,280.272,300.733, 0.309,-2.231,-8.558,-10.523,-10.527,-0.072,-6.085,-10.105,,, 4.139, 4.133,-0.038, 4.138,14.058,-1.065,-0.254,,, 0.896,-3.294, 7.898,-2.920,-1.874, 0.742,302.832, 3.338,-6.420,-1.239,-2.819, 0.000, 0.000, 6.860,-0.008, 0.000, 0.000, 0.000,-2.860,-2.474,24,24
2009-02-01,-2.765,-2.821, 2.917, 2.916,95.018,92.869, 4.258, 4.593, 5.536,148.475,987.267,248.633,223.520,284.091,299.539, 0.186,-1.822,-8.460,-10.492,-10.531, 0.097,-5.693,-10.047,,, 4.138, 4.140,-0.038, 4.138,14.058,-1.349,-0.139,,, 0.901,-3.628, 6.427,-0.960,-1.134, 0.782,301.908, 0.551,-5.447,-1.095,-3.037, 0.000, 0.000, 6.860,-0.007, 0.000, 0.000, 0.000,-1.970,-2.765,24,24
2009-02-02,-3.293,-3.346, 2.691, 2.697,92.772,90.350, 3.487, 3.669, 4.533,128.808,995.250,240.377,219.635,282.343,297.217, 0.189,-1.756,-8.448,-10.468,-10.529, 0.252,-5.763,-10.022,,, 4.138, 4.139,-0.036, 4.136,14.065,-1.494, 0.027,,, 0.915,-4.038, 4.068,-2.424,-1.292, 0.816,299.586, 1.499,-4.945,-1.343,-3.549, 0.000, 0.000, 6.860,-0.006, 0.093, 0.000, 0.000,-3.390,-3.293,24,24
2009-02-03,-7.612,-7.794, 1.940, 1.917,95.574,89.079, 4.288, 4.819, 5.574,151.833,993.521,213.536,197.289,269.783,280.208, 0.098,-1.643,-8.369,-10.447,-10.528, 0.149,-5.447,-9.981,,, 4.138, 4.129,-0.027, 4.127,14.017,-5.939,-5.342,,, 0.923,-8.189, 3.585,-4.227, 7.646, 0.826,282.331,-2.653,-7.364, 6.761,-7.516, 0.000, 0.000, 6.860,-0.009, 0.004, 0.000, 0.000,-4.560,-7.612,24,24
2009-02-04,-8.872,-8.989, 1.744, 1.743,96.572,89.209, 4.082, 4.261, 5.307,183.787,991.667,266.459,231.431,249.108,275.474,-0.021,-2.097,-8.300,-10.418,-10.531,-0.183,-5.373,-9.922,,, 4.119, 4.128,-0.026, 4.126,13.999,-5.946,-5.213,,, 0.866,-9.424, 1.772,-4.147, 6.650, 0.618,278.154,-2.551,-6.410, 5.545,-8.515, 0.000, 0.000, 6.860,-0.008, 0.000, 0.000, 0.000,-7.680,-8.872,24,24
2009-02-05,-11.799,-11.910, 1.380, 1.399,95.115,85.143, 1.591, 1.731, 2.069,139.136,990.350,293.463,246.654,213.557,255.592,-0.020,-2.515,-8.339,-10.375,-10.536,-0.189,-5.917,-9.888,,, 4.133, 4.126,-0.029, 4.129,13.994,-7.483,-8.539,,, 0.838,-14.161, 4.998,-0.570, 5.722, 0.359,263.091, 1.351,-2.527, 4.378,-12.299, 0.000, 0.000, 6.860,-0.003, 0.051, 0.000, 0.000,-6.430,-11.799,23,24
2009-02-06,-3.136,-2.979, 2.596, 2.643,86.650,84.323, 2.380, 2.488, 3.095,213.987,988.571,262.185,220.446,256.886,294.799, 0.017,-2.630,-8.300,-10.345,-10.538,-0.269,-5.939,-9.857,,, 4.119, 4.123,-0.024, 4.124,14.083,-0.229, 0.244,,, 0.841,-4.453, 5.067,-1.665,-10.242, 0.518,294.963, 5.875,-1.445,-8.132,-4.633, 0.000, 0.000, 6.860,-0.002, 0.000, 0.000, 0.000,-1.640,-3.136,24,24
