# NEAD 1.0 UTF-8
# [METADATA]
# station_id       = AWS18
# latitude         = -66.4024
# longitude        = -63.3708
# altitude         = 78
# nodata           = 
# field_delimiter  = ,
# tz               = 0
# doi              = 
# [FIELDS]
# fields           = 
time,t,t2m,q,q2m,rh,rh2m,ff,ff10m,ffmax,ffdir,p,SWd,SWu,LWd,LWu,Tsub1a,Tsub2a,Tsub3a,Tsub4a,Tsub5a,Tsub1b,Tsub2b,Tsub3b,Tsub4b,Tsub5b,z_surf,z_surf_filtered,cum_surface_height_zboom,z_u,Vbat,TCNR,Tlogger,LAT,LON,alb,Ts_obs,SHFdown,LHFdown,GHFup,cloud_cover,LWu_mod,SHFdown_mod,LHFdown_mod,GHFup_mod,Ts_mod,meltE,melt,cumulative_melt,sublimation,accumulation,LWC,LWC_10cm,Tsmax,Tmax,pnan_SEB,pnan_AWS
# units            = -,DegreeC,DegreeC,g/kg,g/kg,%,%,m/s,m/s,m/s,deg,hPa,W/m^2,W/m^2,W/m^2,W/m^2,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,DegreeC,m,m,m,m,V,DegreeC,DegreeC,deg,deg,-,DegreeC,W/m^2,W/m^2,W/m^2,-,W/m^2,W/m^2,W/m^2,W/m^2,DegreeC,W/m^2,kg/m^2/dt,kg/m^2,kg/m^2/dt,kg/m^2/dt,kg/m^2,kg/m^2,degreeC,degreeC,-,-
# [DATA]
2014-11-25,-5.445,,,,,, 2.959,, 4.301,244.086,981.564,422.724,345.695,269.585,285.314,-1.997,-3.604,-4.728,-5.478,-5.771,-4.616,-3.610,-3.771,,, 2.091, 2.087, 0.000, 2.100, 4.899,-2.457, 2.610,-61.659,-58.844,,,,,,,,,,,,,,,,,,,,-5.445,0,7
2014-11-26,-6.557,,,,,, 0.904,, 1.751,212.046,984.906,367.098,301.408,225.087,277.855,-2.317,-4.515,-5.614,-6.019,-6.233,-6.204,-6.441,-7.101,,, 2.121, 2.093,-0.019, 2.119, 5.246, 0.928, 3.119,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-6.557,0,24
2014-11-27,-9.535,,,,,, 2.516,, 3.890,168.104,983.881,309.345,264.002,245.165,266.754,-6.187,-6.077,-6.298,-6.328,-6.481,-6.750,-7.436,-8.074,,, 2.114, 2.107,-0.024, 2.124, 5.254,-6.743,-3.414,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-9.535,0,24
2014-11-28,-7.302,,,,,, 1.958,, 2.950,208.388,975.617,310.894,277.047,260.995,275.964,-2.893,-5.380,-6.135,-6.500,-6.783,-7.065,-7.686,-8.231,,, 2.104, 2.108,-0.020, 2.120, 5.239,-3.440,-0.679,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-7.302,0,24
2014-11-29,-6.673,,,,,, 1.760,, 2.517,172.833,972.879,310.695,274.363,273.745,281.808,-1.129,-4.127,-5.242,-5.980,-6.546,-6.996,-7.723,-8.267,,, 2.111, 2.106,-0.022, 2.122, 5.254,-2.473, 0.404,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-6.673,0,24
2014-11-30,-7.355,,,,,, 1.370,, 2.103,169.996,970.517,335.527,288.328,265.116,278.690,-0.048,-3.085,-4.453,-5.344,-6.077,-6.679,-7.542,-8.158,,, 2.093, 2.111,-0.036, 2.136, 5.252,-2.051, 1.079,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-7.355,0,24
2014-12-01,-5.396,,,,,, 1.094,, 1.893,163.925,968.360,357.354,298.394,241.725,281.016, 0.924,-2.037,-3.631,-4.649,-5.493,-6.206,-7.226,-7.941,,, 2.137, 2.118,-0.035, 2.135, 5.252, 1.682, 4.420,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-5.396,0,24
2014-12-02,-3.914,,,,,, 2.329,, 3.930,171.912,967.100,335.453,274.282,245.033,285.638,-0.801,-1.992,-3.316,-4.227,-5.014,-5.747,-6.851,-7.657,,, 2.116, 2.123,-0.038, 2.138, 5.255,-0.249, 2.459,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-3.914,0,24
2014-12-03,-6.247,,,,,, 1.764,, 2.649,205.604,973.829,401.332,322.897,207.403,276.603,-1.972,-1.776,-3.152,-3.988,-4.737,-5.431,-6.549,-7.392,,, 2.131, 2.129,-0.046, 2.146, 5.265,-0.704, 2.703,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-6.247,0,24
2014-12-04,-8.062,,,,,, 1.000,, 1.821,238.617,978.494,353.930,287.027,226.050,268.875,-3.013,-2.779,-3.835,-4.210,-4.691,-5.253,-6.323,-7.177,,, 2.141, 2.131,-0.047, 2.147, 5.291,-1.393, 2.329,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-8.062,0,24
2014-12-05,-5.863,,,,,, 1.067,, 1.824,190.737,973.800,362.708,297.999,238.656,283.862,-0.755,-1.698,-3.517,-4.277,-4.794,-5.306,-6.296,-7.074,,, 2.120, 2.137,-0.060, 2.160, 5.261, 0.899, 3.766,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-5.863,0,24
2014-12-06,-4.637,,,,,, 0.816,, 1.630,182.908,969.423,303.590,251.642,262.225,286.359,-0.036,-0.433,-2.458,-3.465,-4.278,-4.975,-6.111,-6.948,,, 2.156, 2.146,-0.062, 2.162, 5.263, 1.782, 4.117,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-4.637,0,24
2014-12-07,-3.362,,,,,, 1.271,, 1.962,221.850,966.683,304.848,253.550,281.625,296.626, 1.467, 0.574,-1.650,-2.856,-3.766,-4.545,-5.780,-6.693,,, 2.138, 2.143,-0.056, 2.156, 5.270, 2.389, 4.254,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-3.362,0,24
2014-12-08,-1.574,,,,,, 0.935,, 1.608,197.808,968.344,334.421,272.686,280.762,302.859, 2.969, 2.180,-0.197,-1.357,-2.562,-3.793,-5.173,-5.832,,, 2.152, 2.146,-0.066, 2.166, 5.278, 5.494, 6.393,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-1.574,0,24
2014-12-09,-1.369,,,,,, 0.557,, 1.061,182.412,971.092,362.687,290.481,265.085,299.245, 2.508, 1.783, 0.556, 0.278, 0.193,-0.428,-1.084,-1.068,,, 2.160, 2.160,-0.074, 2.174, 5.250, 5.822, 7.188,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-1.369,0,24
2014-12-10,-3.616,,,,,, 3.671,, 5.109,194.404,961.017,314.269,264.492,272.956,294.761,-1.434, 0.423, 0.476, 0.306, 0.311, 0.510, 0.097, 0.038,,, 2.161, 2.164,-0.073, 2.173, 5.266,-0.599, 2.415,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-3.616,0,24
2014-12-11,-4.151,,,,,, 3.478,, 4.901,244.683,957.490,277.719,249.083,269.786,287.582,-0.960, 0.458, 0.427, 0.265, 0.328, 0.432, 0.101, 0.023,,, 2.160, 2.159,-0.071, 2.171, 5.271,-1.809, 1.065,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-4.151,0,24
2014-12-12,-2.408,,,,,, 2.656,, 3.954,251.479,969.410,309.754,272.606,268.044,295.887, 0.287, 0.601, 0.411, 0.263, 0.354, 0.413,-0.037,-0.605,,, 2.169, 2.156,-0.070, 2.170, 5.253, 1.139, 3.790,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-2.408,0,24
2014-12-13,-3.706,,,,,, 1.316,, 1.996,189.008,978.481,287.614,249.310,263.885,291.537, 0.817, 0.646, 0.399, 0.270, 0.368, 0.267,-0.623,-1.568,,, 2.172, 2.159,-0.074, 2.174, 5.269, 1.599, 3.924,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-3.706,0,24
2014-12-14,-5.156,,,,,, 1.783,, 2.428,174.513,976.623,297.050,260.590,268.246,285.125,-0.222,-0.078,-0.084, 0.299, 0.396,-0.124,-1.253,-2.272,,, 2.162, 2.159,-0.069, 2.169, 5.260,-1.808, 1.463,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-5.156,0,24
2014-12-15,-5.119,,,,,, 2.345,, 3.298,171.146,972.392,356.916,305.439,259.572,287.289, 0.584, 0.194,-0.275,-0.240,-0.063,-0.677,-1.774,-2.731,,, 2.147, 2.150,-0.066, 2.166, 5.253,-0.976, 2.319,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-5.119,0,24
2014-12-16,-5.429,,,,,, 1.246,, 2.047,197.767,974.750,388.551,319.898,236.177,283.751, 0.085,-0.033,-0.580,-0.758,-0.871,-1.160,-2.106,-3.001,,, 2.165, 2.159,-0.080, 2.180, 5.274, 1.027, 3.805,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-5.429,0,24
2014-12-17,-4.048,,,,,, 1.095,, 1.863,235.246,974.425,319.523,270.047,273.297,290.234, 1.397, 0.732,-0.260,-0.813,-1.027,-1.119,-1.730,-2.542,,, 2.176, 2.158,-0.047, 2.147, 5.289, 1.190, 4.203,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-4.048,0,24
2014-12-18,-2.869,,,,,, 3.873,, 5.134,203.321,977.448,309.811,277.078,292.430,298.636, 1.381, 0.860,-0.075,-0.689,-1.241,-1.645,-2.562,-3.372,,, 2.089, 2.108, 0.002, 2.098, 5.255,-0.259, 3.096,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-2.869,0,24
2014-12-19,-3.673,,,,,, 1.995,, 2.633,188.696,980.415,327.610,288.317,280.785,294.209, 1.925, 1.088, 0.085,-0.501,-1.115,-1.627,-2.688,-3.511,,, 2.074, 2.085,-0.016, 2.116, 5.270, 1.291, 4.000,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-3.673,0,24
2014-12-20,-2.540,,,,,, 0.855,, 1.296,189.042,980.223,391.877,320.356,239.105,293.166, 2.876, 1.607, 0.478,-0.201,-0.761,-1.168,-2.215,-3.284,,, 2.126, 2.122,-0.050, 2.150, 5.269, 4.190, 6.213,-66.402,-63.371,,,,,,,,,,,,,,,,,,,,-2.540,0,24
